Rank,Title,Score,Episodes,Timespan,Members
41,"Monogatari Series: Second SeasonTV (26 eps)Jul 2013 - Dec 2013653,257 membersManga StoreVolume 1€9.99Preview",8.77,26,Jul 2013 - Dec 2013,653257
42,"Shingeki no Kyojin: The Final Season Part 2TV (12 eps)Jan 2022 - Apr 20221,170,165 membersManga StoreVolume 1€10.99Preview",8.77,12,Jan 2022 - Apr 2022,1170165
43,"Hajime no IppoTV (75 eps)Oct 2000 - Mar 2002558,435 members",8.76,75,Oct 2000 - Mar 2002,558435
44,"Cowboy BebopTV (26 eps)Apr 1998 - Apr 19991,796,109 members",8.75,26,Apr 1998 - Apr 1999,1796109
45,"Kingdom 4th SeasonTV (26 eps)Apr 2022 - Oct 202255,833 members",8.75,26,Apr 2022 - Oct 2022,55833
46,"Vinland SagaTV (24 eps)Jul 2019 - Dec 20191,403,669 membersManga StoreVolume 1€17.99Preview",8.74,24,Jul 2019 - Dec 2019,1403669
47,"Mushishi Zoku Shou 2nd SeasonTV (10 eps)Oct 2014 - Dec 2014257,622 membersManga StoreVolume 1€10.99Preview",8.73,10,Oct 2014 - Dec 2014,257622
48,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-henTV (12 eps)Jan 2017 - Mar 2017182,450 membersManga StoreVolume 1€12.99Preview",8.72,12,Jan 2017 - Mar 2017,182450
49,"Mob Psycho 100 IIITV (12 eps)Oct 2022 - Dec 2022600,098 members",8.71,12,Oct 2022 - Dec 2022,600098
50,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-henOVA (4 eps)Feb 1999 - Sep 1999271,108 members",8.71,4,Feb 1999 - Sep 1999,271108
